LOTID;DATEADDED;CATEGORY;COLOR;PRICE;QTY;BULK;IMAGE;DESCRIPTION;CONDITION;ITEMTYPE;ITEMID;SALE;STOCKROOM;WEIGHT;DATELASTSOLD;CURRENCY;CATEGORYNAME;CATNAME1;CATNAME2;CATNAME3;CATNAME4;COLORNAME;RGB;COLORTYPE;SUBCONDITION;REMARKS;TIERQTY1;TIERPRICE1;TIERQTY2;TIERPRICE2;TIERQTY3;TIERPRICE3;RESERVEDFOR;RETAIN;SUPERLOTID;SUPERLOTQTY;EXTDESCRIPTION;ITEMTYPENAME;ITEMIDNAME;DIMENSIONX;DIMENSIONY;DIMENSIONZ;BOX;COLUMN;ROW
;;;39;0,00;1;;Not Available;;U;P;35789;;;0;;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;;
;;;5;0,00;1;;Not Available;;U;P;35789;;;0;;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;;
;;;59;0,00;1;;Not Available;;U;P;35789;;;0;;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;;
;;;7;0,00;1;;Not Available;;U;P;35789;;;0;;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;;
;;;80;0,00;1;;Not Available;;U;P;35789;;;0;;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;;
;;;85;0,00;1;;Not Available;;U;P;35789;;;0;;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;;
;;;89;0,00;1;;Not Available;;U;P;35789;;;0;;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;;
;;;5;0,00;1;;Not Available;;U;P;3787;;;0;;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;;
;;;1;0,00;1;;Not Available;;U;P;3788;;;0;;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;;
;;;1;0,00;1;;Not Available;;U;P;3788;;;0;;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;;
;;;11;0,00;1;;Not Available;;U;P;3788;;;0;;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;;
;;;3;0,00;1;;Not Available;;U;P;3788;;;0;;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;;
;;;34;0,00;1;;Not Available;;U;P;3788;;;0;;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;;
;;;34;0,00;1;;Not Available;;U;P;3788;;;0;;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;;
